Train accuracy,Test accuracy
94.53666666666666,94.01
95.96666666666667,95.59
96.58333333333333,96.1
96.73833333333333,95.97
95.89833333333333,95.04
97.53166666666667,96.51
97.04333333333334,96.16
97.26333333333334,96.23
97.40666666666667,96.46
97.865,96.32
97.17666666666666,96.02
97.84166666666667,96.44
97.91666666666667,96.72
97.26666666666667,96.27
97.92,96.67
98.02833333333334,96.82
97.50333333333333,96.23
97.97666666666667,96.67
97.42333333333333,96.08
98.24166666666666,96.94
98.35833333333333,97.14
97.72833333333334,96.68
98.025,96.89
97.30666666666667,95.94
97.97166666666666,96.83
98.32833333333333,96.87
98.16,96.74
97.50166666666667,96.3
98.21,96.6
98.14833333333333,96.85
98.30666666666667,96.78
98.34333333333333,96.9
98.115,96.77
95.865,94.39
95.82,94.92
97.71166666666667,96.35
98.18833333333333,96.7
97.05833333333334,95.77
97.60666666666667,96.12
94.69,93.4
97.32166666666667,96.07
98.35833333333333,96.93
95.61,94.4
97.645,96.47
98.34833333333333,96.86
97.64,96.14
95.47166666666666,94.1
97.625,96.48
95.82666666666667,94.14
97.94166666666666,96.54
96.90333333333334,95.92
97.70166666666667,96.14
98.12833333333333,96.74
98.03,96.85
98.5,97.1
98.875,97.17
99.065,97.4
97.99666666666667,96.62
98.68333333333334,97.16
97.94166666666666,96.46
98.51166666666667,96.77
98.73166666666667,96.88
97.57,96.16
98.91333333333333,97.4
99.135,97.51
98.57166666666667,96.82
96.84833333333333,95.41
98.88833333333334,97.2
98.64333333333333,97.16
96.57833333333333,95.19
97.8,96.13
97.95166666666667,96.5
98.365,96.88
98.86166666666666,96.98
98.405,96.82
98.8,97.36
98.87666666666667,97.34
97.04666666666667,95.36
98.74166666666666,96.86
98.15833333333333,96.57
98.06666666666666,96.63
98.47,96.87
98.83,97.51
95.6,93.78
96.54666666666667,95.06
97.06833333333333,95.65
97.91333333333333,96.43
97.03833333333333,95.36
98.57833333333333,96.88
98.65666666666667,97.04
98.23333333333333,96.88
96.71833333333333,95.16
99.12666666666667,97.59
98.59333333333333,97.15
98.06166666666667,96.64
98.80666666666667,97.15
98.56833333333333,96.81
98.55166666666666,96.77
98.62833333333333,97.06
99.175,97.54
99.00333333333333,97.5
99.18833333333333,97.56
99.22166666666666,97.64
99.34166666666667,97.54
99.32,97.78
99.30333333333333,97.61
99.44333333333333,97.68
99.435,97.68
99.39333333333333,97.51
98.855,97.18
99.22833333333334,97.36
97.68166666666667,95.87
99.51833333333333,97.85
99.00333333333333,97.41
98.41333333333333,96.54
99.56,97.84
98.89166666666667,97.13
98.99666666666667,97.38
98.95833333333333,97.18
99.28333333333333,97.61
98.78666666666666,97.27
99.52166666666666,97.68
98.82333333333334,97.09
99.41833333333334,97.62
99.32166666666667,97.65
99.02166666666666,97.36
99.11833333333334,97.32
98.245,96.67
98.04,96.2
99.525,97.66
99.52833333333334,97.65
99.39833333333333,97.67
99.44,97.7
98.98,97.32
99.45166666666667,97.65
99.16333333333333,97.52
99.46166666666667,97.63
99.32333333333334,97.5
99.06,97.1
99.24333333333334,97.31
97.76,96.28
99.275,97.61
98.74833333333333,97.03
99.00166666666667,97.32
99.04166666666667,97.37
99.34666666666666,97.58
99.22,97.5
98.23833333333333,96.33
99.56166666666667,97.66
99.11666666666666,97.26
99.37833333333333,97.61
99.215,97.27
98.51,96.58
99.14666666666666,97.38
99.72,97.81
98.75833333333334,96.9
99.69333333333333,97.85
99.50833333333334,97.64
99.52,97.63
99.74333333333334,97.8
99.14166666666667,97.12
99.53333333333333,97.54
99.53333333333333,97.56
99.63333333333334,97.66
99.34666666666666,97.34
99.66166666666666,97.72
99.735,97.83
99.73666666666666,98.0
99.73,97.91
99.46666666666667,97.56
99.565,97.75
99.705,97.9
99.67333333333333,97.91
99.77333333333333,97.91
99.81166666666667,98.0
99.72833333333334,97.91
99.79166666666667,97.8
99.72,97.88
99.62666666666667,97.85
99.56833333333333,97.6
99.64166666666667,97.84
99.735,97.78
99.74833333333333,97.84
99.76,97.89
99.62166666666667,97.68
99.72166666666666,97.67
99.825,98.0
99.77166666666666,97.86
99.775,97.82
99.735,97.79
99.73833333333333,98.0
99.71833333333333,97.7
99.83666666666667,97.94
99.72,97.77
99.70666666666666,97.69
99.80333333333333,97.94
99.765,97.74
99.61166666666666,97.65
99.77166666666666,97.83
99.805,97.91
