Train accuracy,Test accuracy
93.42666666666666,93.29
95.40333333333334,95.09
95.82,95.21
96.14833333333333,95.55
96.65833333333333,95.75
96.595,95.46
96.105,95.18
97.25166666666667,96.17
97.52833333333334,96.27
96.74833333333333,95.55
97.48,96.18
97.83666666666667,96.74
97.46,96.36
97.135,96.13
97.72,96.39
97.89,96.33
95.49833333333333,94.37
97.49333333333334,96.28
97.77,96.7
97.66,96.37
97.37333333333333,95.98
96.675,95.69
97.42166666666667,96.28
97.21666666666667,95.94
97.41333333333333,96.18
96.28166666666667,94.96
98.17666666666666,96.9
96.97,95.87
96.47833333333334,95.57
97.405,96.5
97.31833333333333,96.14
97.02666666666667,95.82
96.84,95.61
94.88833333333334,94.1
97.1,95.95
95.25333333333333,93.98
97.935,96.75
95.83,94.36
97.26166666666667,96.42
97.10166666666667,95.91
96.94166666666666,95.87
96.11333333333333,95.12
95.83,94.93
97.04166666666667,96.03
97.07666666666667,95.87
95.965,94.85
95.415,94.42
96.24333333333334,95.24
96.85166666666667,95.91
96.99,95.55
96.57666666666667,95.31
97.84666666666666,96.64
97.91166666666666,96.9
98.19,96.96
97.33666666666667,95.98
96.68,95.17
98.42833333333333,97.06
98.40666666666667,96.96
98.435,96.84
97.94,96.48
97.89666666666666,96.34
98.20333333333333,96.79
97.21166666666667,95.97
97.69333333333333,96.01
97.87,96.22
98.34333333333333,96.65
98.64666666666666,97.24
97.43,95.84
97.97,96.33
98.38333333333334,96.75
98.18,96.77
98.555,97.01
98.32833333333333,96.91
98.35666666666667,96.73
98.56333333333333,97.13
98.72833333333334,97.24
98.38833333333334,96.82
98.675,96.93
97.91,96.6
98.05666666666667,96.86
97.11833333333334,95.91
97.585,96.0
97.17666666666666,96.05
97.62833333333333,96.34
98.705,96.91
98.48666666666666,96.99
97.64166666666667,96.44
98.365,96.91
98.29333333333334,96.88
98.05666666666667,96.75
98.25666666666666,97.07
98.61166666666666,97.1
98.46666666666667,97.01
98.40333333333334,96.94
98.075,96.8
97.82833333333333,96.6
98.36833333333334,96.91
98.23833333333333,96.87
98.355,96.83
97.97,96.43
98.11833333333334,96.62
98.41333333333333,96.99
98.79333333333334,97.27
98.71,97.11
98.97,97.39
98.65166666666667,97.01
98.91333333333333,97.33
98.95333333333333,97.49
99.16166666666666,97.4
98.41833333333334,96.51
98.76,97.01
99.295,97.57
99.09333333333333,97.44
99.02,97.18
98.78333333333333,97.06
99.03166666666667,97.28
98.92166666666667,97.19
98.35333333333334,96.74
98.89666666666666,97.0
98.97,97.17
98.46,96.91
99.42,97.59
99.185,97.66
99.31,97.69
99.06333333333333,97.41
99.03666666666666,97.4
98.91166666666666,97.07
99.19833333333334,97.46
99.24666666666667,97.61
99.165,97.55
99.21833333333333,97.62
98.99666666666667,97.43
99.34166666666667,97.58
99.19666666666667,97.57
99.13333333333334,97.56
99.29333333333334,97.64
99.025,97.6
99.07833333333333,97.49
98.44333333333333,96.62
98.915,97.27
98.65166666666667,96.92
99.08833333333334,97.45
99.1,97.48
99.08166666666666,97.27
99.09833333333333,97.47
99.345,97.59
99.08333333333333,97.39
99.22333333333333,97.55
99.17166666666667,97.4
99.00666666666666,97.21
99.24833333333333,97.45
99.135,97.29
99.29333333333334,97.58
99.20666666666666,97.46
99.3,97.65
99.425,97.33
99.29666666666667,97.61
99.26833333333333,97.36
99.32333333333334,97.46
99.54166666666667,97.64
99.375,97.64
99.365,97.82
99.55333333333333,97.72
99.37666666666667,97.78
99.38833333333334,97.6
99.485,97.59
99.39,97.47
99.465,97.83
99.46833333333333,97.68
99.60333333333334,97.7
99.46,97.68
99.62166666666667,98.04
99.51333333333334,97.72
99.605,97.8
